3.32285384	1.6377
3.3629365	1.7432
3.40094782	1.8328
3.42027058	1.855
3.41579075	1.8102
3.3978069	1.7561
3.37939401	1.7279
3.35456723	1.7208
3.31468502	1.6941
3.26702123	1.6372
3.22336407	1.5644
3.2048759	1.5297
3.2225672	1.5602
3.27350902	1.6488
3.3322394	1.7476
3.37960023	1.8069
3.40191594	1.8202
3.4032252	1.8113
3.38762448	1.7879
3.35334334	1.7427
3.31171095	1.6621
3.27660524	1.569
3.26146113	1.5017
3.26600297	1.4812
3.29722093	1.5189
3.3480371	1.6056
3.39204783	1.7006
3.40187703	1.7486
3.37648229	1.7511
3.3254844	1.7125
3.26218098	1.6086
3.19914551	1.4585
3.16296873	1.3489
3.16445499	1.3392
3.19732311	1.3906
3.24427701	1.4563
3.31080902	1.5278
3.38869394	1.594
3.46054686	1.6471
3.52265668	1.6997
3.56435823	1.7367
3.57706096	1.7304
3.56209147	1.6618
3.52105305	1.5518
3.47468924	1.4744
3.44472694	1.4821
3.42614499	1.548
3.41322709	1.6117
3.39892543	1.642
3.38225451	1.6437
3.36865497	1.6415
3.36068519	1.6492
3.34971961	1.6489
3.32991052	1.6151
3.31256584	1.5534
3.30408634	1.4992
3.30928937	1.4803
3.3151945	1.4886
3.31713576	1.511
3.31501224	1.5404
3.31253404	1.5634
3.31155266	1.5763
3.32290023	1.6
3.3429615	1.6247
3.36235569	1.6355
3.38177788	1.6184
3.40640923	1.5968
3.43536967	1.5876
3.45868884	1.6069
3.45811005	1.6373
3.44109955	1.6699
3.4122231	1.6849
3.37917064	1.6892
3.33960357	1.682
3.30144046	1.6648
3.26924158	1.643
3.25350399	1.6164
3.25606814	1.5961
3.27863796	1.6076
3.30828772	1.6324
3.33753008	1.6787
3.36989365	1.7494
3.40099692	1.8235
3.43220659	1.8875
3.45638554	1.9258
3.46276153	1.9344
3.45052008	1.9177
3.43050275	1.8761
3.41568792	1.8281
3.41239076	1.7838
3.41223343	1.7547
3.41567736	1.7516
3.42482798	1.7754
3.44261221	1.8135
3.46278803	1.8494
3.47434892	1.8658
3.46684977	1.8682
3.44125388	1.8677
3.4042325	1.85
3.36002117	1.809
3.31129447	1.7548
3.26402379	1.7099
3.22963124	1.694
3.22020403	1.704
3.23342419	1.7262
3.25407177	1.7274
3.27782892	1.7006
3.30568962	1.6792
3.33800251	1.6836
3.37180267	1.7128
3.39527587	1.7285
3.40646585	1.7279
3.40625868	1.7271
3.40920586	1.7464
3.42025456	1.7808
3.43758902	1.8078
3.44961135	1.8013
3.44112161	1.7624
3.4078018	1.7066
